[Epoch: 30]: Phase test  | Loss: 0.909 | Acc: 0.737
[Epoch: 31]: Phase train | Loss: 0.259 | Acc: 0.887
[Epoch: 31]: Phase valid | Loss: 0.336 | Acc: 0.737
[Epoch: 31]: Phase test  | Loss: 1.070 | Acc: 0.632
[Epoch: 32]: Phase train | Loss: 0.337 | Acc: 0.860
[Epoch: 32]: Phase valid | Loss: 0.134 | Acc: 1.000
[Epoch: 32]: Phase test  | Loss: 0.731 | Acc: 0.684
[Epoch: 33]: Phase train | Loss: 0.252 | Acc: 0.913
[Epoch: 33]: Phase valid | Loss: 0.139 | Acc: 0.895
[Epoch: 33]: Phase test  | Loss: 0.549 | Acc: 0.737
[Epoch: 34]: Phase train | Loss: 0.314 | Acc: 0.867
[Epoch: 34]: Phase valid | Loss: 0.191 | Acc: 0.895
[Epoch: 34]: Phase test  | Loss: 0.543 | Acc: 0.737
[Epoch: 35]: Phase train | Loss: 0.272 | Acc: 0.860
[Epoch: 35]: Phase valid | Loss: 0.200 | Acc: 0.895
[Epoch: 35]: Phase test  | Loss: 0.549 | Acc: 0.789
[Epoch: 36]: Phase train | Loss: 0.260 | Acc: 0.873
[Epoch: 36]: Phase valid | Loss: 0.163 | Acc: 0.895
[Epoch: 36]: Phase test  | Loss: 0.553 | Acc: 0.737
[Epoch: 37]: Phase train | Loss: 0.263 | Acc: 0.887
[Epoch: 37]: Phase valid | Loss: 0.127 | Acc: 1.000
[Epoch: 37]: Phase test  | Loss: 0.611 | Acc: 0.684
[Epoch: 38]: Phase train | Loss: 0.263 | Acc: 0.873
[Epoch: 38]: Phase valid | Loss: 0.116 | Acc: 1.000
[Epoch: 38]: Phase test  | Loss: 0.597 | Acc: 0.737
[Epoch: 39]: Phase train | Loss: 0.272 | Acc: 0.860
[Epoch: 39]: Phase valid | Loss: 0.143 | Acc: 0.895
[Epoch: 39]: Phase test  | Loss: 0.511 | Acc: 0.737
[Epoch: 40]: Phase train | Loss: 0.254 | Acc: 0.907
[Epoch: 40]: Phase valid | Loss: 0.152 | Acc: 0.947
[Epoch: 40]: Phase test  | Loss: 0.485 | Acc: 0.737
[Epoch: 41]: Phase train | Loss: 0.259 | Acc: 0.913
[Epoch: 41]: Phase valid | Loss: 0.172 | Acc: 0.895
[Epoch: 41]: Phase test  | Loss: 0.549 | Acc: 0.789
[Epoch: 42]: Phase train | Loss: 0.262 | Acc: 0.893
[Epoch: 42]: Phase valid | Loss: 0.147 | Acc: 0.947
[Epoch: 42]: Phase test  | Loss: 0.553 | Acc: 0.737
[Epoch: 43]: Phase train | Loss: 0.214 | Acc: 0.933
[Epoch: 43]: Phase valid | Loss: 0.192 | Acc: 0.895
[Epoch: 43]: Phase test  | Loss: 0.576 | Acc: 0.789
[Epoch: 44]: Phase train | Loss: 0.279 | Acc: 0.900
[Epoch: 44]: Phase valid | Loss: 0.221 | Acc: 0.895
[Epoch: 44]: Phase test  | Loss: 0.602 | Acc: 0.789
[Epoch: 45]: Phase train | Loss: 0.277 | Acc: 0.900
[Epoch: 45]: Phase valid | Loss: 0.154 | Acc: 0.895
[Epoch: 45]: Phase test  | Loss: 0.520 | Acc: 0.737
[Epoch: 46]: Phase train | Loss: 0.253 | Acc: 0.887
[Epoch: 46]: Phase valid | Loss: 0.139 | Acc: 0.895
[Epoch: 46]: Phase test  | Loss: 0.514 | Acc: 0.684
[Epoch: 47]: Phase train | Loss: 0.232 | Acc: 0.907
[Epoch: 47]: Phase valid | Loss: 0.152 | Acc: 0.842
[Epoch: 47]: Phase test  | Loss: 0.600 | Acc: 0.632
[Epoch: 48]: Phase train | Loss: 0.237 | Acc: 0.900
[Epoch: 48]: Phase valid | Loss: 0.170 | Acc: 0.895
[Epoch: 48]: Phase test  | Loss: 0.630 | Acc: 0.632
[Epoch: 49]: Phase train | Loss: 0.230 | Acc: 0.873
[Epoch: 49]: Phase valid | Loss: 0.172 | Acc: 0.895
[Epoch: 49]: Phase test  | Loss: 0.599 | Acc: 0.632
[Epoch: 50]: Phase train | Loss: 0.423 | Acc: 0.880
[Epoch: 50]: Phase valid | Loss: 0.170 | Acc: 0.895
[Epoch: 50]: Phase test  | Loss: 0.535 | Acc: 0.737
[Epoch: 51]: Phase train | Loss: 0.261 | Acc: 0.893
[Epoch: 51]: Phase valid | Loss: 0.122 | Acc: 0.947
[Epoch: 51]: Phase test  | Loss: 0.547 | Acc: 0.789
[Epoch: 52]: Phase train | Loss: 0.244 | Acc: 0.920
[Epoch: 52]: Phase valid | Loss: 0.114 | Acc: 0.947
[Epoch: 52]: Phase test  | Loss: 0.567 | Acc: 0.789
[Epoch: 53]: Phase train | Loss: 0.354 | Acc: 0.867
[Epoch: 53]: Phase valid | Loss: 0.108 | Acc: 0.947
[Epoch: 53]: Phase test  | Loss: 0.568 | Acc: 0.789
[Epoch: 54]: Phase train | Loss: 0.264 | Acc: 0.913
[Epoch: 54]: Phase valid | Loss: 0.120 | Acc: 0.947
[Epoch: 54]: Phase test  | Loss: 0.651 | Acc: 0.789
[Epoch: 55]: Phase train | Loss: 0.261 | Acc: 0.893
[Epoch: 55]: Phase valid | Loss: 0.128 | Acc: 0.947
[Epoch: 55]: Phase test  | Loss: 0.639 | Acc: 0.789
[Epoch: 56]: Phase train | Loss: 0.233 | Acc: 0.887
[Epoch: 56]: Phase valid | Loss: 0.134 | Acc: 0.947
[Epoch: 56]: Phase test  | Loss: 0.653 | Acc: 0.737
[Epoch: 57]: Phase train | Loss: 0.194 | Acc: 0.893
[Epoch: 57]: Phase valid | Loss: 0.121 | Acc: 0.895
[Epoch: 57]: Phase test  | Loss: 0.654 | Acc: 0.789
[Epoch: 58]: Phase train | Loss: 0.238 | Acc: 0.900
[Epoch: 58]: Phase valid | Loss: 0.110 | Acc: 1.000
[Epoch: 58]: Phase test  | Loss: 0.673 | Acc: 0.789
[Epoch: 59]: Phase train | Loss: 0.243 | Acc: 0.887
[Epoch: 59]: Phase valid | Loss: 0.147 | Acc: 0.895
[Epoch: 59]: Phase test  | Loss: 0.644 | Acc: 0.737
[Epoch: 60]: Phase train | Loss: 0.273 | Acc: 0.873
[Epoch: 60]: Phase valid | Loss: 0.153 | Acc: 0.895
[Epoch: 60]: Phase test  | Loss: 0.608 | Acc: 0.737
[Epoch: 61]: Phase train | Loss: 0.258 | Acc: 0.867
[Epoch: 61]: Phase valid | Loss: 0.162 | Acc: 0.895
[Epoch: 61]: Phase test  | Loss: 0.528 | Acc: 0.789
[Epoch: 62]: Phase train | Loss: 0.260 | Acc: 0.900
[Epoch: 62]: Phase valid | Loss: 0.186 | Acc: 0.842
[Epoch: 62]: Phase test  | Loss: 0.522 | Acc: 0.684
[Epoch: 63]: Phase train | Loss: 0.207 | Acc: 0.893
[Epoch: 63]: Phase valid | Loss: 0.209 | Acc: 0.842
[Epoch: 63]: Phase test  | Loss: 0.520 | Acc: 0.737
[Epoch: 64]: Phase train | Loss: 0.244 | Acc: 0.887
[Epoch: 64]: Phase valid | Loss: 0.221 | Acc: 0.842
[Epoch: 64]: Phase test  | Loss: 0.527 | Acc: 0.737
[Epoch: 65]: Phase train | Loss: 0.244 | Acc: 0.887
[Epoch: 65]: Phase valid | Loss: 0.191 | Acc: 0.895
[Epoch: 65]: Phase test  | Loss: 0.483 | Acc: 0.737
[Epoch: 66]: Phase train | Loss: 0.268 | Acc: 0.867
[Epoch: 66]: Phase valid | Loss: 0.184 | Acc: 0.947
[Epoch: 66]: Phase test  | Loss: 0.482 | Acc: 0.737
[Epoch: 67]: Phase train | Loss: 0.241 | Acc: 0.887
[Epoch: 67]: Phase valid | Loss: 0.155 | Acc: 0.947
[Epoch: 67]: Phase test  | Loss: 0.466 | Acc: 0.684
[Epoch: 68]: Phase train | Loss: 0.300 | Acc: 0.873
[Epoch: 68]: Phase valid | Loss: 0.117 | Acc: 1.000
[Epoch: 68]: Phase test  | Loss: 0.443 | Acc: 0.789
[Epoch: 69]: Phase train | Loss: 0.236 | Acc: 0.900
[Epoch: 69]: Phase valid | Loss: 0.137 | Acc: 1.000
[Epoch: 69]: Phase test  | Loss: 0.485 | Acc: 0.789
[Epoch: 70]: Phase train | Loss: 0.221 | Acc: 0.893
[Epoch: 70]: Phase valid | Loss: 0.124 | Acc: 0.947
[Epoch: 70]: Phase test  | Loss: 0.420 | Acc: 0.842
[Epoch: 71]: Phase train | Loss: 0.211 | Acc: 0.900
[Epoch: 71]: Phase valid | Loss: 0.149 | Acc: 0.895
[Epoch: 71]: Phase test  | Loss: 0.384 | Acc: 0.789
[Epoch: 72]: Phase train | Loss: 0.200 | Acc: 0.900
[Epoch: 72]: Phase valid | Loss: 0.227 | Acc: 0.895
[Epoch: 72]: Phase test  | Loss: 0.480 | Acc: 0.789
[Epoch: 73]: Phase train | Loss: 0.233 | Acc: 0.893
[Epoch: 73]: Phase valid | Loss: 0.256 | Acc: 0.895
[Epoch: 73]: Phase test  | Loss: 0.542 | Acc: 0.789
[Epoch: 74]: Phase train | Loss: 0.325 | Acc: 0.860
[Epoch: 74]: Phase valid | Loss: 0.177 | Acc: 0.947
[Epoch: 74]: Phase test  | Loss: 0.500 | Acc: 0.789
[Epoch: 75]: Phase train | Loss: 0.222 | Acc: 0.900
[Epoch: 75]: Phase valid | Loss: 0.090 | Acc: 1.000
[Epoch: 75]: Phase test  | Loss: 0.491 | Acc: 0.789
[Epoch: 76]: Phase train | Loss: 0.249 | Acc: 0.900
[Epoch: 76]: Phase valid | Loss: 0.102 | Acc: 1.000
[Epoch: 76]: Phase test  | Loss: 0.550 | Acc: 0.737
[Epoch: 77]: Phase train | Loss: 0.254 | Acc: 0.893
[Epoch: 77]: Phase valid | Loss: 0.075 | Acc: 1.000
[Epoch: 77]: Phase test  | Loss: 0.407 | Acc: 0.789
[Epoch: 78]: Phase train | Loss: 0.259 | Acc: 0.880
[Epoch: 78]: Phase valid | Loss: 0.166 | Acc: 0.947
[Epoch: 78]: Phase test  | Loss: 0.350 | Acc: 0.842
[Epoch: 79]: Phase train | Loss: 0.288 | Acc: 0.887
[Epoch: 79]: Phase valid | Loss: 0.313 | Acc: 0.895
[Epoch: 79]: Phase test  | Loss: 0.503 | Acc: 0.842
[Epoch: 80]: Phase train | Loss: 0.311 | Acc: 0.873
[Epoch: 80]: Phase valid | Loss: 0.277 | Acc: 0.947
[Epoch: 80]: Phase test  | Loss: 0.440 | Acc: 0.842
[Epoch: 81]: Phase train | Loss: 0.209 | Acc: 0.900
[Epoch: 81]: Phase valid | Loss: 0.107 | Acc: 0.947
[Epoch: 81]: Phase test  | Loss: 0.333 | Acc: 0.842
[Epoch: 82]: Phase train | Loss: 0.262 | Acc: 0.900
[Epoch: 82]: Phase valid | Loss: 0.057 | Acc: 1.000
[Epoch: 82]: Phase test  | Loss: 0.488 | Acc: 0.789
[Epoch: 83]: Phase train | Loss: 0.344 | Acc: 0.873
[Epoch: 83]: Phase valid | Loss: 0.057 | Acc: 1.000
[Epoch: 83]: Phase test  | Loss: 0.584 | Acc: 0.737
[Epoch: 84]: Phase train | Loss: 0.231 | Acc: 0.880
[Epoch: 84]: Phase valid | Loss: 0.079 | Acc: 1.000
[Epoch: 84]: Phase test  | Loss: 0.666 | Acc: 0.737
[Epoch: 85]: Phase train | Loss: 0.286 | Acc: 0.893
[Epoch: 85]: Phase valid | Loss: 0.089 | Acc: 1.000
